IP 地址,平均延迟,下载速度(MB/s),地区码
128.199.255.242,237.37,0.00,SIN
129.212.225.217,219.70,0.00,SIN
129.212.229.72,301.23,0.00,SIN
129.212.229.240,217.47,0.00,SIN
129.212.239.59,255.94,0.00,SIN
129.212.239.183,380.13,0.00,SIN
134.209.16.4,178.72,7.06,LHR
134.209.16.44,187.65,7.79,LHR
134.209.17.159,193.55,5.28,LHR
134.209.19.88,182.90,7.39,LHR
134.209.19.200,198.87,9.44,CDG
134.209.24.145,180.64,7.24,LHR
134.209.26.45,177.83,8.25,LHR
134.209.27.74,196.28,9.44,LHR
134.209.27.89,187.45,0.45,LHR
134.209.27.159,177.99,6.08,LHR
134.209.27.216,188.25,6.73,LHR
134.209.28.89,215.89,7.27,LHR
134.209.30.166,201.03,9.38,LHR
134.209.34.220,111.44,23.07,EWR
134.209.35.1,106.82,16.61,EWR
134.209.39.43,107.67,12.90,EWR
134.209.66.212,111.58,18.89,EWR
134.209.72.77,111.07,19.41,EWR
134.209.85.210,175.75,9.50,AMS
134.209.86.85,175.83,8.40,AMS
134.209.87.204,170.12,7.69,AMS
134.209.91.228,196.68,10.88,AMS
134.209.93.32,207.71,9.44,AMS
134.209.96.76,224.86,6.48,SIN
134.209.98.39,209.06,0.00,SIN
134.209.101.154,227.93,5.88,SIN
134.209.102.229,239.47,0.00,SIN
134.209.103.4,217.33,6.30,SIN
134.209.106.237,242.53,0.00,SIN
134.209.108.21,224.13,6.35,SIN
134.209.127.15,113.68,13.52,EWR
134.209.136.197,173.32,9.28,AMS
134.209.166.117,98.03,0.43,EWR
134.209.175.62,122.70,9.53,EWR
134.209.176.127,181.00,8.76,LHR
134.209.179.157,191.05,6.95,LHR
134.209.179.225,185.15,7.89,LHR
134.209.183.179,206.52,9.44,LHR
134.209.183.227,180.46,6.73,LHR
134.209.184.129,178.71,6.76,LHR
134.209.184.156,179.62,8.34,LHR
134.209.185.10,194.56,6.12,LHR
134.209.185.80,204.47,8.54,LHR
134.209.186.12,184.68,8.28,LHR
134.209.186.163,182.25,7.83,LHR
134.209.188.15,192.50,6.50,LHR
134.209.192.5,195.30,8.22,AMS
134.209.192.230,181.16,7.52,AMS
134.209.194.199,173.82,6.99,AMS
134.209.201.61,168.18,9.44,AMS
134.209.224.221,200.64,9.01,FRA
134.209.227.233,185.21,6.52,FRA
134.209.228.30,195.82,8.86,FRA
134.209.230.38,181.80,7.70,FRA
134.209.230.176,197.70,6.07,FRA
134.209.236.15,184.38,6.98,FRA
134.209.241.224,199.60,6.64,FRA
134.209.243.7,194.09,9.59,FRA
134.209.243.55,181.17,7.43,FRA
134.209.244.186,196.17,6.34,FRA
134.209.244.217,185.47,9.44,FRA
134.209.246.179,186.17,5.60,FRA
134.209.247.212,195.08,9.44,FRA
134.209.252.112,187.69,8.48,FRA
134.209.252.120,189.38,9.36,FRA
138.2.10.165,144.76,0.00,NRT
138.2.31.37,149.05,0.00,NRT
138.2.43.153,160.29,0.00,KIX
138.2.59.112,140.11,0.00,KIX
138.2.64.229,403.57,0.00,HKG
138.2.66.236,268.15,0.00,SIN
138.2.76.34,93.78,20.20,SIN
138.2.87.237,236.70,0.00,SIN
138.2.108.213,353.97,0.00,HKG
138.2.110.111,235.01,0.00,SIN
139.59.14.179,301.08,9.44,BOM
139.59.18.247,268.42,5.76,BOM
139.59.34.159,295.50,7.20,BOM
139.59.45.54,276.84,6.60,BOM
139.59.47.74,274.58,4.18,BOM
139.59.63.21,288.93,4.12,BOM
139.59.81.26,277.36,4.54,BOM
139.59.86.83,316.36,5.12,BOM
139.59.97.194,223.64,4.96,SIN
139.59.101.96,96.40,0.00,SIN
139.59.102.87,248.01,0.00,SIN
139.59.102.170,233.75,9.45,SIN
139.59.110.156,390.05,0.00,SIN
139.59.114.19,221.80,6.47,SIN
139.59.115.7,213.25,5.44,SIN
139.59.115.36,214.42,5.94,SIN
139.59.115.38,207.11,5.36,SIN
139.59.118.255,304.00,0.00,SIN
139.59.120.123,97.12,0.00,SIN
139.59.123.238,232.11,8.11,SIN
139.59.124.100,212.24,6.14,SIN
139.59.127.117,89.30,0.00,SIN
139.59.132.119,180.24,6.59,FRA
139.59.134.102,227.01,0.00,FRA
139.59.134.132,191.95,6.93,FRA
139.59.141.171,201.37,8.29,FRA
139.59.141.191,182.87,8.52,FRA
139.59.142.185,187.35,0.00,FRA
139.59.145.120,198.50,0.30,FRA
139.59.147.28,209.33,7.52,FRA
139.59.147.98,247.58,0.00,FRA
139.59.148.136,177.56,5.91,FRA
139.59.151.190,190.93,0.00,FRA
139.59.151.232,178.68,5.35,FRA
139.59.153.66,181.19,7.77,FRA
139.59.154.46,193.69,8.54,FRA
139.59.177.252,185.79,7.88,LHR
139.59.178.6,191.16,7.96,LHR
139.59.180.89,184.43,9.22,LHR
139.59.183.33,184.59,6.24,LHR
139.59.184.201,183.46,6.89,LHR
139.59.186.54,199.70,7.03,LHR
139.59.186.121,184.06,6.31,LHR
139.59.187.72,198.39,6.31,LHR
139.59.188.85,186.40,8.04,LHR
139.59.189.127,191.50,6.03,LHR
139.59.190.23,183.59,6.11,LHR
139.59.192.91,216.43,6.57,SIN
139.59.210.168,206.83,6.31,FRA
139.59.215.5,177.60,6.65,FRA
139.59.225.43,208.98,6.03,SIN
139.59.231.131,220.49,7.51,SIN
139.59.250.212,214.79,9.44,SIN
139.59.250.249,242.24,6.93,SIN
139.162.61.198,213.52,0.00,SIN
139.162.62.166,298.38,0.00,SIN
140.83.50.165,160.81,0.00,KIX
140.245.45.233,278.69,0.00,SIN
140.245.58.23,369.67,0.00,HKG
140.245.70.145,176.60,0.00,ICN
140.245.127.48,261.51,0.00,SIN
141.147.168.3,139.98,0.00,NRT
141.147.174.243,125.86,0.00,NRT
141.147.185.63,225.99,0.00,NRT
141.147.185.181,214.90,0.00,NRT
143.42.66.91,447.00,0.00,SIN
143.198.31.221,107.14,9.55,EWR
143.198.51.244,52.22,81.96,SJC
143.198.53.171,53.17,47.97,SJC
143.198.54.24,114.15,93.25,SJC
143.198.55.207,60.47,79.23,SJC
143.198.56.191,73.51,0.16,SJC
143.198.68.232,82.51,38.67,SJC
143.198.76.78,90.73,47.54,SJC
143.198.76.96,78.31,49.64,SJC
143.198.80.220,227.40,7.86,SIN
143.198.88.27,219.61,7.12,SIN
143.198.97.84,56.60,42.12,SJC
143.198.99.229,67.44,40.22,SJC
143.198.100.0,50.04,48.51,SJC
143.198.106.68,57.02,56.94,SJC
143.198.109.48,51.49,50.29,SJC
143.198.153.35,88.53,51.89,SJC
143.198.154.123,54.78,54.43,SJC
143.198.158.87,67.35,44.49,SJC
143.198.175.1,101.10,19.70,EWR
143.198.187.134,108.90,18.88,EWR
143.198.191.118,111.05,9.57,EWR
143.198.203.199,220.86,6.37,SIN
143.198.209.123,322.03,0.00,SIN
143.198.211.180,205.99,6.45,SIN
143.198.213.40,211.96,5.93,SIN
143.198.213.81,223.32,9.44,SIN
143.198.219.131,278.41,0.00,SIN
143.198.224.105,73.49,52.27,SJC
143.198.226.16,54.27,79.80,SJC
143.198.227.174,62.76,25.13,SJC
143.198.230.169,62.59,44.80,SJC
143.198.234.15,94.39,54.93,SJC
143.198.235.196,68.23,43.09,SJC
146.190.16.105,181.42,7.54,AMS
146.190.21.196,191.66,7.37,AMS
146.190.22.3,181.92,8.05,AMS
146.190.22.84,176.37,7.40,AMS
146.190.23.205,173.69,8.75,AMS
146.190.23.242,185.05,10.59,AMS
146.190.24.179,189.34,6.51,AMS
146.190.25.37,174.16,9.46,AMS
146.190.25.138,183.70,8.43,AMS
146.190.30.27,176.75,5.92,AMS
146.190.30.107,173.28,7.62,AMS
146.190.31.69,193.77,7.65,AMS
146.190.48.43,65.64,53.41,SJC
146.190.56.83,50.99,0.93,SJC
146.190.71.183,111.04,22.81,EWR
146.190.87.188,260.05,0.00,SIN
146.190.93.62,223.85,8.66,SIN
146.190.96.4,219.24,7.11,SIN
146.190.100.44,220.53,5.84,SIN
146.190.102.182,222.59,7.08,SIN
146.190.104.194,224.32,5.49,SIN
146.190.104.232,269.86,0.00,SIN
146.190.110.215,218.70,5.38,SIN
146.190.112.78,67.52,47.70,SJC
146.190.114.88,68.57,48.06,SJC
146.190.124.36,88.66,6.14,SJC
146.190.124.190,49.99,47.21,SJC
146.190.126.171,112.87,57.17,SJC
146.190.131.153,85.07,75.61,SJC
146.190.143.8,69.52,51.19,SJC
146.190.146.17,62.02,54.44,SJC
146.190.148.120,62.22,47.20,SJC
146.190.151.21,63.67,75.52,SJC
146.190.155.217,54.33,47.21,SJC
146.190.171.62,77.38,37.21,SJC
146.190.171.187,68.37,36.70,SJC
146.190.174.67,64.80,0.15,SJC
146.190.211.83,120.66,19.91,EWR
146.190.227.95,175.95,9.44,AMS
146.190.231.158,169.09,15.24,AMS
146.190.233.213,170.88,7.11,AMS
146.190.234.20,181.92,7.46,AMS
146.190.236.144,175.64,9.78,AMS
146.190.236.243,175.91,6.45,AMS
146.190.241.224,125.95,12.52,YYZ
146.190.246.28,116.87,16.36,YYZ
146.190.249.144,118.76,13.64,YYZ
146.190.253.54,126.53,11.79,YYZ
146.190.255.153,127.70,12.17,YYZ
149.28.21.106,137.09,0.00,NRT
149.28.153.207,273.47,0.00,SIN
149.28.159.87,395.90,0.00,SIN
149.28.159.88,268.29,0.00,SIN
149.28.159.222,325.75,0.00,SIN
150.109.11.223,243.43,0.00,SIN
150.230.212.247,141.20,0.00,NRT
151.145.78.30,146.12,0.00,NRT
152.42.194.191,249.50,0.00,SIN
152.42.196.47,243.44,0.00,SIN
152.42.199.134,232.55,0.00,SIN
152.42.232.186,282.29,0.00,SIN
152.42.235.119,248.15,0.00,SIN
152.42.246.148,224.45,0.00,SIN
152.42.246.230,214.77,0.00,SIN
152.42.246.237,230.45,0.00,SIN
152.42.247.235,264.86,0.00,SIN
152.67.210.234,167.70,0.00,ICN
154.41.80.59,74.75,56.64,LAX
154.41.80.73,81.63,56.65,LAX
154.41.80.90,72.73,0.11,LAX
154.41.80.115,85.45,39.21,LAX
154.41.80.141,82.65,43.78,LAX
154.41.80.153,83.55,31.13,LAX
155.248.181.189,139.31,0.00,NRT
157.230.19.11,198.18,6.26,FRA
157.230.22.152,186.78,8.62,FRA
157.230.22.243,202.65,6.27,FRA
157.230.23.26,198.67,9.44,FRA
157.230.23.239,208.52,6.98,FRA
157.230.29.80,186.80,6.38,FRA
157.230.29.88,196.07,7.40,FRA
157.230.31.170,205.38,0.00,FRA
157.230.32.24,276.74,0.00,SIN
157.230.37.27,237.83,0.00,SIN
157.230.38.88,222.46,5.81,SIN
157.230.44.151,226.45,0.00,SIN
157.230.49.218,103.08,12.30,EWR
157.230.74.71,48.91,0.00,SJC
157.230.97.112,188.04,6.90,FRA
157.230.98.152,205.64,9.44,FRA
157.230.99.89,202.76,9.84,FRA
157.230.99.163,221.32,0.00,FRA
157.230.101.36,221.71,5.90,FRA
157.230.103.183,192.00,0.00,FRA
157.230.107.183,196.55,7.34,FRA
157.230.107.203,194.82,6.99,FRA
157.230.109.108,192.57,9.44,FRA
157.230.110.191,223.55,0.00,FRA
157.230.110.242,186.13,5.23,FRA
157.230.111.61,223.34,7.09,FRA
157.230.116.5,185.66,9.26,FRA
157.230.122.29,185.74,6.63,FRA
157.230.126.165,198.44,7.04,FRA
157.230.127.28,192.34,6.64,FRA
157.230.140.153,55.71,45.70,SJC
157.230.143.34,50.86,54.95,SJC
157.230.186.51,99.54,20.52,EWR
157.230.193.169,214.17,0.41,SIN
157.230.243.63,207.41,0.00,SIN
157.230.244.86,216.51,9.36,SIN
157.230.248.19,229.40,0.00,SIN
157.230.248.27,218.37,0.00,SIN
157.230.248.87,227.08,6.50,SIN
157.230.248.114,215.40,9.45,SIN
157.230.248.157,226.93,0.00,SIN
157.230.254.79,205.80,5.19,SIN
157.230.255.59,218.42,6.93,SIN
157.245.198.117,244.14,0.00,SIN
159.65.1.74,220.96,0.00,SIN
159.65.15.18,307.15,0.00,SIN
159.65.141.109,233.19,0.00,SIN
159.65.143.223,257.86,0.00,SIN
159.89.1.235,184.33,8.51,FRA
159.89.3.182,182.98,8.75,FRA
159.89.7.107,182.89,5.72,FRA
159.89.9.87,184.81,8.54,FRA
159.89.10.241,184.06,7.76,FRA
159.89.11.104,185.42,7.84,FRA
159.89.12.238,195.06,7.73,FRA
